Song,Artist,Spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
No Other Name,Hillsong Worship,51AbDalUWkxCB1N0NZ3nU1,0.358,0.613,7.0,-6.452,1.0,0.0308,0.00564,0.0,0.146,0.0481,148.002,audio_features,51AbDalUWkxCB1N0NZ3nU1,spotify:track:51AbDalUWkxCB1N0NZ3nU1,https://api.spotify.com/v1/tracks/51AbDalUWkxCB1N0NZ3nU1,https://api.spotify.com/v1/audio-analysis/51AbDalUWkxCB1N0NZ3nU1,440253.0,4.0
Failed Organum,Internal Rot,2dp5I5MJ8bQQHDoFaNRFtX,0.171,0.997,7.0,-3.586,1.0,0.118,0.00521,0.801,0.42,0.0294,122.223,audio_features,2dp5I5MJ8bQQHDoFaNRFtX,spotify:track:2dp5I5MJ8bQQHDoFaNRFtX,https://api.spotify.com/v1/tracks/2dp5I5MJ8bQQHDoFaNRFtX,https://api.spotify.com/v1/audio-analysis/2dp5I5MJ8bQQHDoFaNRFtX,93933.0,4.0
"Save the Trees, Pt. 1",Zhoobin Askarieh;Ali Sasha,7okbmgA8lRBGl5limZ7LFM,0.528,0.234,3.0,-15.784,1.0,0.0283,0.641,0.0,0.183,0.191,95.911,audio_features,7okbmgA8lRBGl5limZ7LFM,spotify:track:7okbmgA8lRBGl5limZ7LFM,https://api.spotify.com/v1/tracks/7okbmgA8lRBGl5limZ7LFM,https://api.spotify.com/v1/audio-analysis/7okbmgA8lRBGl5limZ7LFM,218733.0,4.0
Merry Christmas,Bryan Adams,6B8tOwbbbvRkGBrFw2PJB1,0.497,0.463,6.0,-7.465,1.0,0.0272,0.714,0.000271,0.146,0.468,73.318,audio_features,6B8tOwbbbvRkGBrFw2PJB1,spotify:track:6B8tOwbbbvRkGBrFw2PJB1,https://api.spotify.com/v1/tracks/6B8tOwbbbvRkGBrFw2PJB1,https://api.spotify.com/v1/audio-analysis/6B8tOwbbbvRkGBrFw2PJB1,150697.0,4.0
月の大きさ,Nogizaka46,4bY2oZGA5Br3pTE1Jd1IfY,0.555,0.941,9.0,-3.294,0.0,0.0481,0.484,0.0,0.266,0.813,92.487,audio_features,4bY2oZGA5Br3pTE1Jd1IfY,spotify:track:4bY2oZGA5Br3pTE1Jd1IfY,https://api.spotify.com/v1/tracks/4bY2oZGA5Br3pTE1Jd1IfY,https://api.spotify.com/v1/audio-analysis/4bY2oZGA5Br3pTE1Jd1IfY,236293.0,4.0
"Jah Jah Revolta, Pt. 2",BaianaSystem,2zQt5C0AIv27RhfJCRZdZ4,0.776,0.8,8.0,-4.704,0.0,0.0438,0.00631,0.0731,0.35,0.583,143.989,audio_features,2zQt5C0AIv27RhfJCRZdZ4,spotify:track:2zQt5C0AIv27RhfJCRZdZ4,https://api.spotify.com/v1/tracks/2zQt5C0AIv27RhfJCRZdZ4,https://api.spotify.com/v1/audio-analysis/2zQt5C0AIv27RhfJCRZdZ4,309493.0,4.0
Please Stop Communicating,Joe DeRosa,6BctgCJXlgxYeR0ObhLdtR,0.627,0.815,6.0,-6.959,0.0,0.911,0.785,0.0,0.744,0.532,119.197,audio_features,6BctgCJXlgxYeR0ObhLdtR,spotify:track:6BctgCJXlgxYeR0ObhLdtR,https://api.spotify.com/v1/tracks/6BctgCJXlgxYeR0ObhLdtR,https://api.spotify.com/v1/audio-analysis/6BctgCJXlgxYeR0ObhLdtR,496201.0,5.0
A Form of Protest,Cane Hill,2T87RX4V5PsfnqhBq21Qxm,0.395,0.933,11.0,-3.6,0.0,0.116,8.74e-06,0.0125,0.328,0.194,92.53,audio_features,2T87RX4V5PsfnqhBq21Qxm,spotify:track:2T87RX4V5PsfnqhBq21Qxm,https://api.spotify.com/v1/tracks/2T87RX4V5PsfnqhBq21Qxm,https://api.spotify.com/v1/audio-analysis/2T87RX4V5PsfnqhBq21Qxm,189405.0,4.0
I'm Ready - Radio Edit,Kano,2dgFqylK6gyILa4HY65u0y,0.628,0.867,9.0,-3.555,1.0,0.0913,0.0108,0.0,0.308,0.597,78.043,audio_features,2dgFqylK6gyILa4HY65u0y,spotify:track:2dgFqylK6gyILa4HY65u0y,https://api.spotify.com/v1/tracks/2dgFqylK6gyILa4HY65u0y,https://api.spotify.com/v1/audio-analysis/2dgFqylK6gyILa4HY65u0y,227311.0,4.0
Proibida Pra Mim (Grazon) - Ao Vivo,Charlie Brown Jr.,5HOkVB35cz5nK6ZeRj0xM6,0.57,0.93,8.0,-3.14,1.0,0.0477,0.00606,0.00381,0.102,0.925,163.751,audio_features,5HOkVB35cz5nK6ZeRj0xM6,spotify:track:5HOkVB35cz5nK6ZeRj0xM6,https://api.spotify.com/v1/tracks/5HOkVB35cz5nK6ZeRj0xM6,https://api.spotify.com/v1/audio-analysis/5HOkVB35cz5nK6ZeRj0xM6,167933.0,4.0
